id,plate_text,confidence,source,frame_num,plate_img,timestamp
1,RIB J,0.826,video,3,video_20260523_122345_289033.jpg,2026-05-23 12:23:45
2,R-E3J,0.831,video,6,video_20260523_122345_502548.jpg,2026-05-23 12:23:45
3,RB3J,0.83,video,9,video_20260523_122345_763616.jpg,2026-05-23 12:23:45
4,R-183-JF,0.844,video,12,video_20260523_122345_893387.jpg,2026-05-23 12:23:45
5,R183-JF,0.834,video,21,video_20260523_122346_324952.jpg,2026-05-23 12:23:46
6,R-481 IF,0.517,video,51,video_20260523_122347_708513.jpg,2026-05-23 12:23:47
7,R-187 IF,0.806,video,54,video_20260523_122347_837860.jpg,2026-05-23 12:23:47
8,R-183 JF,0.812,video,57,video_20260523_122347_961136.jpg,2026-05-23 12:23:47
9,GUIN,0.817,video,75,video_20260523_122348_711294.jpg,2026-05-23 12:23:48
10,RBLK,0.818,video,78,video_20260523_122348_888410.jpg,2026-05-23 12:23:48
11,03A4-JE,0.817,video,81,video_20260523_122349_063075.jpg,2026-05-23 12:23:49
12,RBAA,0.82,video,84,video_20260523_122349_201218.jpg,2026-05-23 12:23:49
13,RBAM,0.82,video,87,video_20260523_122349_311957.jpg,2026-05-23 12:23:49
14,RBRM,0.84,video,90,video_20260523_122349_480280.jpg,2026-05-23 12:23:49
15,N-824N,0.829,video,93,video_20260523_122349_561951.jpg,2026-05-23 12:23:49
16,N894J,0.828,video,96,video_20260523_122349_679857.jpg,2026-05-23 12:23:49
17,N-894-JV,0.828,video,99,video_20260523_122349_816207.jpg,2026-05-23 12:23:49
18,N894-JV,0.821,video,105,video_20260523_122350_005096.jpg,2026-05-23 12:23:50
19,N894-J,0.829,video,108,video_20260523_122350_094654.jpg,2026-05-23 12:23:50
20,LOBEX,0.83,video,114,video_20260523_122350_420188.jpg,2026-05-23 12:23:50
21,L-65640,0.817,video,117,video_20260523_122350_648696.jpg,2026-05-23 12:23:50
22,L6S56 XH,0.843,video,120,video_20260523_122350_824118.jpg,2026-05-23 12:23:50
23,L656XH,0.819,video,123,video_20260523_122350_976984.jpg,2026-05-23 12:23:50
24,LOS6 XH,0.838,video,126,video_20260523_122351_095618.jpg,2026-05-23 12:23:51
25,L-656-XH,0.832,video,132,video_20260523_122351_306226.jpg,2026-05-23 12:23:51
26,L656-XH,0.84,video,135,video_20260523_122351_440575.jpg,2026-05-23 12:23:51
27,L6S6-XH,0.821,video,141,video_20260523_122351_673180.jpg,2026-05-23 12:23:51
28,L656 XH,0.831,video,165,video_20260523_122352_660966.jpg,2026-05-23 12:23:52
29,C656 XH,0.77,video,201,video_20260523_122354_056755.jpg,2026-05-23 12:23:54
30,L65OXH,0.749,video,204,video_20260523_122354_153431.jpg,2026-05-23 12:23:54
31,COSO XH,0.787,video,207,video_20260523_122354_286971.jpg,2026-05-23 12:23:54
32,EOSO XH,0.786,video,210,video_20260523_122354_414347.jpg,2026-05-23 12:23:54
33,EOS6XU,0.792,video,213,video_20260523_122354_520188.jpg,2026-05-23 12:23:54
34,MED,0.806,video,216,video_20260523_122354_698804.jpg,2026-05-23 12:23:54
35,RAL,0.822,video,219,video_20260523_122354_868477.jpg,2026-05-23 12:23:54
36,NRU,0.8,video,222,video_20260523_122355_035292.jpg,2026-05-23 12:23:55
37,RAU,0.816,video,225,video_20260523_122355_217776.jpg,2026-05-23 12:23:55
38,KAL,0.82,video,228,video_20260523_122355_349224.jpg,2026-05-23 12:23:55
39,RORD,0.817,video,231,video_20260523_122355_517104.jpg,2026-05-23 12:23:55
40,0OA0,0.83,video,234,video_20260523_122355_636432.jpg,2026-05-23 12:23:55
41,064LX,0.822,video,237,video_20260523_122355_765821.jpg,2026-05-23 12:23:55
42,D644LX,0.811,video,240,video_20260523_122355_886631.jpg,2026-05-23 12:23:55
43,R64LX,0.809,video,246,video_20260523_122356_099912.jpg,2026-05-23 12:23:56
44,0644LX,0.823,video,249,video_20260523_122356_240273.jpg,2026-05-23 12:23:56
45,0644 LX,0.815,video,252,video_20260523_122356_371372.jpg,2026-05-23 12:23:56
46,06ALX,0.812,video,255,video_20260523_122356_501146.jpg,2026-05-23 12:23:56
47,H644LX,0.819,video,258,video_20260523_122356_644081.jpg,2026-05-23 12:23:56
48,H644-LX,0.82,video,264,video_20260523_122356_945505.jpg,2026-05-23 12:23:56
49,A644-LX,0.795,video,267,video_20260523_122357_124944.jpg,2026-05-23 12:23:57
50,H-644LX,0.672,video,270,video_20260523_122357_298113.jpg,2026-05-23 12:23:57
51,A-644LX,0.417,video,270,video_20260523_122357_370183.jpg,2026-05-23 12:23:57
52,H-644-LX,0.824,video,273,video_20260523_122357_503456.jpg,2026-05-23 12:23:57
53,A644LX,0.82,video,282,video_20260523_122357_877803.jpg,2026-05-23 12:23:57
54,KURR,0.819,video,291,video_20260523_122358_337239.jpg,2026-05-23 12:23:58
55,K884RS,0.816,video,294,video_20260523_122358_443416.jpg,2026-05-23 12:23:58
56,K884-RS,0.846,video,303,video_20260523_122358_696359.jpg,2026-05-23 12:23:58
57,K884 RS,0.843,video,306,video_20260523_122358_829168.jpg,2026-05-23 12:23:58
58,BTOZ,0.814,video,324,video_20260523_122359_522954.jpg,2026-05-23 12:23:59
59,66-FA-07,0.816,video,327,video_20260523_122359_685076.jpg,2026-05-23 12:23:59
60,66-HH-Q7,0.828,video,330,video_20260523_122359_841446.jpg,2026-05-23 12:23:59
61,66-HA-07,0.82,video,333,video_20260523_122359_994835.jpg,2026-05-23 12:24:00
62,66-HH-07,0.823,video,336,video_20260523_122400_136192.jpg,2026-05-23 12:24:00
63,66-HH0Z,0.822,video,360,video_20260523_122401_045284.jpg,2026-05-23 12:24:01
64,66-HH 07,0.84,video,363,video_20260523_122401_142844.jpg,2026-05-23 12:24:01
65,66 HH 07,0.829,video,399,video_20260523_122402_418403.jpg,2026-05-23 12:24:02
66,66 HHH 07,0.828,video,408,video_20260523_122402_668019.jpg,2026-05-23 12:24:02
67,L6O5 HZ,0.777,video,420,video_20260523_122403_114865.jpg,2026-05-23 12:24:03
68,06OS-HZ,0.817,video,423,video_20260523_122403_228786.jpg,2026-05-23 12:24:03
69,L6O5-HZ,0.814,video,426,video_20260523_122403_358142.jpg,2026-05-23 12:24:03
70,LEO4Z,0.828,video,429,video_20260523_122403_546452.jpg,2026-05-23 12:24:03
71,BEK,0.784,video,432,video_20260523_122403_709588.jpg,2026-05-23 12:24:03
72,RIIT,0.835,video,486,video_20260523_122405_306538.jpg,2026-05-23 12:24:05
73,LEBH,0.775,video,489,video_20260523_122405_464494.jpg,2026-05-23 12:24:05
74,L6054Z,0.82,video,492,video_20260523_122405_633515.jpg,2026-05-23 12:24:05
75,LEOSHZ,0.833,video,495,video_20260523_122405_799542.jpg,2026-05-23 12:24:05
76,L605-HZ,0.816,video,504,video_20260523_122406_167902.jpg,2026-05-23 12:24:06
77,LEO5 HZ,0.808,video,510,video_20260523_122406_397610.jpg,2026-05-23 12:24:06
78,L6O5 -HZ,0.817,video,525,video_20260523_122406_852051.jpg,2026-05-23 12:24:06
79,L6OS-HZ,0.843,video,528,video_20260523_122406_965804.jpg,2026-05-23 12:24:06
80,L605 HZ,0.826,video,531,video_20260523_122407_089017.jpg,2026-05-23 12:24:07
81,LEOS5HZ,0.805,video,570,video_20260523_122408_533647.jpg,2026-05-23 12:24:08
82,L6O5HZ,0.818,video,573,video_20260523_122408_688030.jpg,2026-05-23 12:24:08
83,RBD,0.809,video,576,video_20260523_122408_867338.jpg,2026-05-23 12:24:08
84,RUDA,0.816,video,579,video_20260523_122409_052341.jpg,2026-05-23 12:24:09
85,RUT,0.825,video,582,video_20260523_122409_218009.jpg,2026-05-23 12:24:09
86,UK2,0.815,video,585,video_20260523_122409_359645.jpg,2026-05-23 12:24:09
87,NIA RU,0.555,video,3,video_20260523_122944_760431.jpg,2026-05-23 12:29:44
88,MAKU,0.431,video,6,video_20260523_122945_012413.jpg,2026-05-23 12:29:45
89,NAIZ WRU,0.529,video,9,video_20260523_122945_243928.jpg,2026-05-23 12:29:45
90,MIKU,0.428,video,9,video_20260523_122945_341401.jpg,2026-05-23 12:29:45
